m,c
-3.079,3.079288304957761
-3.078,3.078289345185857
-3.077,3.0772903889104994
-3.076,3.076291436142464
-3.075,3.0752924868925575
-3.074,3.0742935411716172
-3.073,3.07329459899051
-3.072,3.072295660360132
-3.071,3.0712967252914094
-3.07,3.070297793795298
-3.069,3.0692988658827858
-3.068,3.0682999415648884
-3.067,3.067301020852653
-3.066,3.066302103757158
-3.065,3.065303190289509
-3.064,3.064304280460847
-3.063,3.063305374282338
-3.062,3.0623064717651833
-3.061,3.061307572920613
-3.06,3.060308677759887
-3.059,3.0593097862942966
-3.058,3.0583108985351655
-3.057,3.0573120144938475
-3.056,3.0563131341817256
-3.055,3.0553142576102172
-3.054,3.0543153847907676
-3.053,3.0533165157348567
-3.052,3.052317650453993
-3.051,3.0513187889597173
-3.05,3.0503199312636027
-3.049,3.0493210773772526
-3.048,3.048322227312303
-3.047,3.0473233810804214
-3.046,3.0463245386933053
-3.045,3.045325700162688
-3.044,3.0443268655003313
-3.043,3.0433280347180296
-3.042,3.0423292078276103
-3.041,3.0413303848409323
-3.04,3.0403315657698875
-3.039,3.0393327506263987
-3.038,3.038333939422422
-3.037,3.037335132169946
-3.036,3.036336328880992
-3.035,3.0353375295676135
-3.034,3.0343387342418957
-3.033,3.033339942915958
-3.032,3.0323411556019533
-3.031,3.0313423723120643
-3.03,3.0303435930585096
-3.029,3.02934481785354
-3.028,3.0283460467094403
-3.027,3.027347279638525
-3.026,3.026348516653146
-3.025,3.0253497577656865
-3.024,3.024351002988564
-3.023,3.023352252334228
-3.022,3.022353505815164
-3.021,3.021354763443888
-3.02,3.020356025232954
-3.019,3.019357291194945
-3.018,3.01835856134248
-3.017,3.0173598356882145
-3.016,3.0163611142448343
-3.015,3.0153623970250605
-3.014,3.014363684041648
-3.013,3.0133649753073883
-3.012,3.012366270835105
-3.011,3.0113675706376557
-3.01,3.0103688747279342
-3.009,3.009370183118868
-3.008,3.0083714958234196
-3.007,3.007372812854586
-3.006,3.006374134225399
-3.005,3.005375459948925
-3.004,3.004376790038267
-3.003,3.0033781245065603
-3.002,3.002379463366977
-3.001,3.001380806632725
-3.0,3.0003821543170477
-2.999,2.9993835064332215
-2.998,2.998384862994559
-2.997,2.9973862240144102
-2.996,2.99638758950616
-2.995,2.9953889594832273
-2.994,2.994390333959068
-2.993,2.9933917129471754
-2.992,2.992393096461076
-2.991,2.9913944845143337
-2.99,2.9903958771205486
-2.989,2.989397274293356
-2.988,2.9883986760464287
-2.987,2.9874000823934757
-2.986,2.9864014933482417
-2.985,2.985402908924507
-2.984,2.9844043291360913
-2.983,2.9834057539968493
-2.982,2.9824071835206714
-2.981,2.981408617721487
-2.98,2.9804100566132607
-2.979,2.9794115002099955
-2.978,2.9784129485257296
